PLEKHJ1,Plekhj1
LOC101929728,
DLL3,Dll3
LOC286238,
SLC38A5,Slc38a5
ARSE,
OOEP,Ooep
PITHD1,Pithd1
PLPP4,Plpp4
FZD6,Fzd6
ADAM28,Adam28
SULT1A2,
RGS17,Rgs17
NKIRAS1,Nkiras1
GRIN3B,Grin3b
MCF2L2,
THOP1,Thop1
RGMB,Rgmb
GABRB2,Gabrb2
PFDN1,Pfdn1
CD59,Cd59b
MRPL43,Mrpl43
CCDC17,Ccdc17
APOA4,Apoa4
FOXA2,Foxa2
SEMA4B,Sema4b
FEM1A,Fem1a
CCDC60,Ccdc60
MEST,Mest
PCSK1N,Pcsk1n
KCNA4,Kcna4
DCT,Dct
CR1,
BLOC1S5,Bloc1s5
ERP44,Erp44
TMEM185A,Tmem185a
TNFSF12,Tnfsf12
SETD9,
TCEAL5,Tceal5
PLD3,Pld3
NOL8,Nol8
C26H6ORF222,
OCIAD1,Ociad1
RASGRP4,Rasgrp4
B3GAT3,B3gat3
PPP2CB,Ppp2cb
C1QL2,C1ql2
VCPIP1,Vcpip1
KCNMB2,Kcnmb2
FKBP5,Fkbp5
POP7,Pop7
SCLY,Scly
OSBPL9,Osbpl9
HSD11B2,Hsd11b2
CTNNA2,Ctnna2
PEX1,Pex1
OR11H6,Olfr745
THUMPD3,Thumpd3
CD6,Cd6
DHRS7,Dhrs7
TAF2,Taf2
ZBTB20,Zbtb20
GOLGB1,Golgb1
SRARP,Srarp
RNFT1,Rnft1
DOHH,Dohh
RD3L,Rd3l
XPNPEP3,
ZNF680,
CIDEC,Cidec
SCGB3A2,Scgb3a2
ROPN1B,
ATAD3A,Atad3a
DUSP4,Dusp4
NOS1,Nos1
ZDHHC11,Zdhhc11
NACA2,
DGKZ,Dgkz
RNPEPL1,Rnpepl1
BPIFC,Bpifc
NANOG,Nanog
SMS,Sms-ps
TGFBR1,Tgfbr1
TIMM44,Timm44
UCP3,Ucp3
CENPV,Cenpv
CYP3A4,
LANCL2,Lancl2
KPNA2,Kpna2
TMBIM1,Tmbim1
GCLC,Gclc
RDX,Rdx
FAXC,Faxc
NAA50,Naa50
GABPA,Gabpa
SLPI,Slpi
TRIM45,Trim45
IQCJ,Iqcj
IRF2BP1,Irf2bp1
NUDCD3,Nudcd3
ADGRA2,Adgra2
PRR32,Prr32
PRSS23,Prss23
ZNF366,Zfp366
PDHX,Pdhx
TTR,Ttr
KRTAP10-8,
UBQLNL,Ubqlnl
GPR35,Gpr35
ZC3H7B,Zc3h7b
PTBP1,Ptbp1
SLC35G6,Slc35g3
MRPL4,Mrpl4
TRIM64B,
PIWIL2,Piwil2
CACNB4,Cacnb4
TTL,Ttl
PIM2,Pim2
LAMB1,Lamb1
SPACA1,Spaca1
GRN,Grn
CARNS1,Carns1
ZNF12,Zfp12
PELI1,Peli1
C11H9orf50,1700001O22Rik
LRRC3C,Lrrc3c
POLG2,Polg2
POMT2,Pomt2
RUVBL2,Ruvbl2
ERAP2,
PRDX6,Prdx6
RFX3,Rfx3
ZNF74,
RORA,Rora
GNL2,Gnl2
IFIT5,
FAM212B,Fam212b
TREH,Treh
TOMM34,Tomm34
PLXDC1,Plxdc1
TMEM223,
MOXD1,Moxd1
ITGB3BP,Itgb3bp
CPXCR1,Cpxcr1
YLPM1,Ylpm1
DENND5B,Dennd5b
HAUS1,Haus1
MRPL42,Mrpl42
C22H3orf62,1700102P08Rik
C17H17orf102,
CYFIP2,Cyfip2
FBXO8,Fbxo8
CACNA1D,Cacna1d
ZNF793,
CHD2,Chd2
MYL5,
LNPK,Lnpk
WDR70,Wdr70
SPIN2B,Spin2-ps4
CNTN4,Cntn4
THAP11,Thap11
DET1,Det1
FAM221A,Fam221a
ACSL3,Acsl3
ACAA2,Acaa2
NUMBL,Numbl
ABCA3,Abca3
RHCG,Rhcg
TTC23,Ttc23
MRPL2,Mrpl2
DDIT4L,Ddit4l
TTYH1,Ttyh1
CRLF3,Crlf3
SEMA4G,Sema4g
AKIRIN2,Akirin2
CSPG4,Cspg4
TBC1D12,Tbc1d12
OAS3,Oas3
LRRC45,Lrrc45
ZNF268,
YTHDF2,Ythdf2
C18H16orf86,4933405L10Rik
NME7,Nme7
PLEKHG1,Plekhg1
CHRNB3,Chrnb3
GPR26,Gpr26
BRCA1,Brca1
KIF6,Kif6
ABCB1,Abcb1a
HOXB7,Hoxb7
ANLN,Anln
LOC102724235,
TINAGL1,Tinagl1
CAPG,Capg
DYNLT3,Dynlt3
LINS1,Lins1
NPAS4,Npas4
GUCA1B,Guca1b
FASN,Fasn
RC3H1,Rc3h1
ZNF862,
MUS81,Mus81
PCGF1,Pcgf1
HOXD12,Hoxd12
ARSA,Arsa
SLC7A2,Slc7a2
TMEM200C,Tmem200c
IQCE,Iqce
OTUD6A,Otud6a
LMO7DN,
TBRG1,Tbrg1
ADAMTS5,Adamts5
NECAB1,Necab1
CHAF1A,Chaf1a
RABIF,Rabif
PIAS1,Pias1
OAS1,Oas1g
PADI4,Padi4
CFHR1,Cfhr1
TMEM239,Tmem239
GAL3ST1,Gal3st1
ZC2HC1B,Zc2hc1b
AGO3,Ago3
MIIP,Miip
BMX,Bmx
TAS2R42,Tas2r131
DFFB,Dffb
PRKACB,Prkacb
BNIP1,Bnip1
TFEB,Tfeb
PMM1,Pmm1
CENPT,Cenpt
HMGA1,Hmga1b
PRPF4B,Prpf4b
PDIK1L,Pdik1l
POGLUT1,Poglut1
KCTD9,Kctd9
JMJD4,Jmjd4
HGF,Hgf
POM121C,Pom121
AGR2,Agr2
TRMT10A,Trmt10a
LOXHD1,
MSC,Msc
CCDC80,Ccdc80
C7H7orf65,
KIF21B,Kif21b
HARS,Hars
ZKSCAN5,Zkscan5
TMEM189,Tmem189
DAGLA,Dagla
YWHAG,Ywhag
FN1,Fn1
EPYC,Epyc
C1H2ORF49,AI597479
NAP1L2,Nap1l2
CAMLG,Caml
FBXL3,Fbxl3
AGTR2,Agtr2
OR8B12,Olfr874
SEC14L4,Sec14l4
FEZF1,Fezf1
USP17L5,
STK40,Stk40
EFCAB14,Efcab14
INSL3,Insl3
TSGA13,Tsga13
C2CD4C,C2cd4c
TTLL11,Ttll11
TMEM41A,Tmem41a
DCPS,Dcps
OR8G1,Olfr967
HAUS6,Haus6
LOXL4,Loxl4
TRIL,Tril
CERS3,Cers3
ALDH9A1,Aldh9a1
ARHGEF25,Arhgef25
EPC1,Epc1
PNMA2,Pnma2
ZC3H12B,Zc3h12b
WDR74,Wdr74
FOSB,Fosb
MRPS23,Mrps23
C3H1orf52,2410004B18Rik
FLII,Flii
FURIN,Furin
ABI3BP,
NCK1,Nck1
SNX30,Snx30
ZNF446,Zfp446
ZFP36,Zfp36
WDR91,Wdr91
DNAJC13,Dnajc13
GNG5,Gng5-ps
OR10A7,
MYOM2,Myom2
RPS6KC1,Rps6kc1
ROS1,Ros1
GEMIN2,Gemin2
LPCAT4,Lpcat4
SPANXN2,
ERCC4,Ercc4
GPT2,Gpt2
LEPROT,Leprot
CBX4,Cbx4
ADGRL2,Adgrl2
PXYLP1,Pxylp1
C7H5orf46,Gm94
RPGR,Rpgr
BMP4,Bmp4
LOC102724248,
SCRT1,Scrt1
EDEM1,Edem1
MFHAS1,Mfhas1
KIF1C,Kif1c
TSPO,Tspo
PMAIP1,
GBGT1,Gbgt1
VGLL4,Vgll4
PGF,Pgf
C1H21ORF62,4932438H23Rik
PNKP,Pnkp
C1QL1,C1ql1
CCDC12,Ccdc12
CYP2F1,Cyp2f2
CNGA2,Cnga2
RIOK2,Riok2
XPOT,Xpot
GSTP1,Gstp-ps
SCPEP1,Scpep1
AGPAT1,Agpat1
HGH1,Hgh1
KPNA5,
STT3B,Stt3b
ENTPD7,Entpd7
FAT4,Fat4
TP53I11,Trp53i11
FBXL16,Fbxl16
IL13RA1,Il13ra1
FAM160B1,Fam160b1
PPP1R15B,Ppp1r15b
UTP20,Utp20
OR6B1,Olfr449
FBXL13,Fbxl13
CCNB3,Ccnb3
OR5L1,Olfr1157
PKD2,Pkd2
PLXNA4,Plxna4
TMEM17,Tmem17
RPTN,Rptn
CATSPERG,Catsperg2
HEY1,Hey1
MED12L,Med12l
HEG1,Heg1
TSC1,Tsc1
PRICKLE2,Prickle2
TYMS,Tyms
FAM200B,
VPS37B,Vps37b
PTPDC1,Ptpdc1
TEAD3,Tead3
GCH1,Gch1
USP48,Usp48
BEST2,Best2
FSBP,Fsbp
FAM110C,Fam110c
TNFAIP8L3,Tnfaip8l3
PITX3,Pitx3
ARPC1A,Arpc1a
TRIM69,Trim69
SEC23B,Sec23b
WDR11,Wdr11
ZXDB,Zxdb
P2RY4,P2ry4
ZNF716,
SRSF4,Srsf4
CLIC3,Clic3
PAWR,Pawr
SPNS2,Spns2
OR10J5,Olfr16
RLN2,
C1QTNF4,C1qtnf4
ENKD1,Enkd1
LOC101927859,
PPP1R18,Ppp1r18
PLXNA3,Plxna3
HKR1,
TPBGL,Tpbgl
PCDHB9,
RPS19,Rps19
SCYL1,Scyl1
NEUROG3,Neurog3
DDX3X,Ddx3x
JDP2,Jdp2
COX10,Cox10
RIMKLB,Rimklb
SMG8,Smg8
NUCKS1,Nucks1
TNP2,
RBKS,Rbks
KCNH3,Kcnh3
SPHK2,Sphk2
DOCK9,Dock9
GPBAR1,Gpbar1
TINF2,Tinf2
TUBA8,Tuba8
NEU2,Neu2
ZNF623,Zfp623
FNTA,Fnta
FNDC8,Fndc8
PRIM2,Prim2
ZNF710,Zfp710
VWA3A,Vwa3a
EDEM2,Edem2
TSC22D2,Tsc22d2
NAF1,Naf1
RPL39,Rpl39
UQCC1,Uqcc1
MOGAT1,Mogat1
PDE6G,Pde6g
BTBD3,
CAMSAP2,Camsap2
LRRTM4,Lrrtm4
MGAT5,Mgat5
ACSM3,Acsm3
LOC101735126,
FAAP20,Faap20
EPN1,Epn1
CASP7,Casp7
RNLS,Rnls
LOC402269,
HOXC13,Hoxc13
SEM1,Sem1
TYROBP,Tyrobp
SLC25A47,Slc25a47
ZNF385D,
PIPOX,Pipox
CST5,Cst10
BPIFB1,Bpifb1
TLE1,Tle1
OR52B4,Olfr547
RPE,Rpe
LOC100131107,
FLAD1,Flad1
FOXN4,Foxn4
GNAI3,Gnai3
CBSL,Cbs
TTC34,Ttc34
RDH16,Rdh9
LBX1,Lbx1
LTA,Lta
SNCA,Snca
NDFIP2,Ndfip2
FAM169A,Fam169a
CRYBA4,Cryba4
HEBP2,Hebp2
PCDHGB4,Pcdhgb4
PLSCR1,Plscr1
BORCS7,Borcs7
VNN2,
ANP32B,
POLR2D,Polr2d
FAM135A,Fam135a
EFHD1,Efhd1
LRP1B,Lrp1b
RASGEF1C,Rasgef1c
TRAPPC6B,Trappc6b
STRA6,Stra6
PAIP1,Paip1
CUTA,Cuta
MTSS1,Mtss1
CCDC13,Ccdc13
FHL5,Fhl5
USP53,Usp53
CRYGB,Crygb
YPEL3,Ypel3
ANKS4B,Anks4b
TAS2R30,
MED29,Med29
STAT5B,Stat5b
ST8SIA3,St8sia3
TP53RK,Trp53rkb
SLC29A2,Slc29a2
USB1,Usb1
TRIML2,Triml2
ACBD7,Acbd7
GOLGA7B,Golga7b
TEX264,Tex264
PRSS38,Prss38
FAM131B,Fam131b
ACOT12,Acot12
PET117,Pet117
TICRR,Ticrr
ITPR3,Itpr3
POMC,Pomc
SEZ6L,Sez6l
HSPD1,Hspd1
DYNC1I1,Dync1i1
AP4B1,Ap4b1
COL5A1,Col5a1
C4H7orf31,4921507P07Rik
NASP,Nasp
HDAC9,Hdac9
LILRA5,Lilra5
QPRT,Qprt
DYNLRB2,Dynlrb2
LRR1,Lrr1
MTMR8,
CD300A,Cd300a
CFC1B,Cfc1
LAMTOR4,Lamtor4
CS,Cs
PGM2L1,Pgm2l1
MRGPRX2,Mrgprx2
RAB32,Rab32
UFSP2,Ufsp2
SPATA21,Spata21
CCNH,Ccnh
CDK5RAP2,Cdk5rap2
NSUN4,Nsun4
CRY1,Cry1
ZNF630,
ZC3HAV1,Zc3hav1
CEP63,Cep63
VAMP1,Vamp1
KCNK13,Kcnk13
MAP1LC3B2,
BARHL2,Barhl2
HACD3,Hacd3
IPO4,Ipo4
VPS13D,Vps13d
ZNF143,Zfp143
APBB3,Apbb3
BROX,Brox
FAM83G,Fam83g
TPK1,Tpk1
PURG,Purg
KIAA2013,2510039O18Rik
ARNTL2,Arntl2
NSMF,Nsmf
TCP10L,
RASAL1,Rasal1
PLXND1,Plxnd1
DCTN5,Dctn5
DIP2A,Dip2a
CREM,Crem
TLNRD1,Tlnrd1
NOS1AP,
HERC2,Herc2
PTMA,
SDF2L1,Sdf2l1
CEP19,Cep19
SVOPL,Svopl
XAGE2,
LINC01750,
GLOD5,Glod5
HGSNAT,Hgsnat
DAG1,Dag1
MYT1,Myt1
IL17A,Il17a
RAB29,Rab29
PGBD1,Pgbd1
ROBO2,Robo2
CXHXorf51A,
WISP2,Wisp2
SH3PXD2A,Sh3pxd2a
SLC25A44,Slc25a44
EPB41L5,Epb41l5
INTS8,Ints8
F9,F9
CD109,Cd109
SLF2,Slf2
CENPH,Cenph
ZNF175,Zfp715
CCIN,Ccin
CENPX,Cenpx
KDM7A,Kdm7a
IL36G,Il1f9
STAM2,Stam2
OSBPL6,Osbpl6
LHX3,Lhx3
IFT88,Ift88
PYCR2,Pycr2
OR2H2,Olfr90
PDLIM1,Pdlim1
LILRB5,
CETN1,Cetn1
OR10G2,Olfr1511
CLDN15,Cldn15
BPIFA1,Bpifa1
MCOLN3,Mcoln3
ENDOG,Endog
SLC7A3,Slc7a3
TEPSIN,Tepsin
NAMPT,Nampt
TTLL10,Ttll10
EIF4E2,Eif4e2
FBXO11,Fbxo11
SORCS1,Sorcs1
LRRC43,Lrrc43
LNX1,Lnx1
KIF18B,Kif18b
DOLPP1,Dolpp1
EIF2D,Eif2d
BBX,Bbx
ALKBH1,Alkbh1
AOC2,Aoc2
PPM1M,Ppm1m
ATIC,Atic
NR2C2AP,Nr2c2ap
ARHGEF26,Arhgef26
SERPINI1,Serpini1
ZSCAN12,Zscan12
TTC13,Ttc13
TCF23,Tcf23
GNLY,
OR2T10,
SYPL1,Sypl
EP400,Ep400
TAF7,Taf7
RFC1,Rfc1
SLC26A4,Slc26a4
ROPN1L,Ropn1l
SCAF1,
KLHL34,Klhl34
RBM43,Rbm43
MEX3B,Mex3b
HIST1H3G,Hist2h3c2
CMTM5,Cmtm5
RPS7,Rps7
SCX,Scx
IKZF3,Ikzf3
KBTBD4,Kbtbd4
MYO1F,Myo1f
TRAF5,Traf5
TRIM35,Trim35
C19orf24,1600002K03Rik
RFTN2,Rftn2
DBT,Dbt
MYF5,Myf5
STARD4,Stard4
UNC119B,Unc119b
MMRN1,Mmrn1
PURB,Purb
GRIK5,Grik5
KHDC1L,Khdc1c
BCS1L,Bcs1l
CCL27,Gm2506
SERPINB1,Serpinb1a
VAPA,Vapa
COMP,Comp
CLEC4F,Clec4f
SOD3,Sod3
RAB39A,Rab39
TACR2,Tacr2
HIRIP3,Hirip3
MMP3,Mmp3
MANF,Manf
UBC,Ubc
BTBD8,Btbd8
NEFH,Nefh
C6H4orf3,
GTF3C6,Gtf3c6
EDNRA,Ednra
TWSG1,Twsg1
SELP,Selp
WDR78,Wdr78
ERGIC3,Ergic3
SMAP2,Smap2
NDUFAF3,Ndufaf3
ASXL3,Asxl3
SPSB2,Spsb2
JAM2,Jam2
CPSF1,Cpsf1
THOC5,Thoc5
ZBTB38,Zbtb38
C6H6orf183,
NRDC,Nrd1
MDN1,Mdn1
CHAC1,Chac1
GTPBP2,Gtpbp2
LRRC25,Lrrc25
HS3ST6,Hs3st6
AFMID,Afmid
RAB11FIP2,Rab11fip2
LOC389831,
FAM187B,
RET,Ret
PKN1,Pkn1
CRABP2,Crabp2
TSPAN33,Tspan33
CAND1,Cand1
SOX9,Sox9
WDR75,Wdr75
NAB2,Nab2
GOLGA1,Golga1
ITGB8,Itgb8
C5AR2,C5ar2
COX3,mt-Co3
ZDHHC18,Zdhhc18
ZIC5,Zic5
EML2,Eml2
WDR83OS,Wdr83os
PLK4,Plk4
INTS3,Ints3
GPR18,Gpr18
ZNF205,Zfp13
OAT,Oat
ARG2,Arg2
CLEC12A,Clec12a
RAD51B,Rad51b
SLC22A2,Slc22a2
HAND2,Hand2
CST6,Cst6
NDEL1,Ndel1
PDZD2,Pdzd2
HIF1AN,Hif1an
ZNF596,
SLC4A9,Slc4a9
TGFBR3,Tgfbr3
SNCB,Sncb
CCR7,Ccr7
ATP2A2,Atp2a2
RBM34,Rbm34
FBN3,
MTERF2,Mterf2
GALNT5,Galnt5
NQO2,Nqo2
TEKT3,Tekt3
PARP14,Parp14
FBXO32,Fbxo32
CD200,Cd200
PSMD9,Psmd9
DEGS1,Degs1
ZNF436,Zfp46
COL14A1,Col14a1
SPANXN4,
PAMR1,Pamr1
ERICH2,Erich2
LOC646730,Gm28729
KAZALD1,Kazald1
HESX1,Hesx1
ZNF782,
PHC2,Phc2
IFNA14,
NFKBIA,Nfkbia
CLDN1,Cldn1
REP15,Rep15
UBXN2A,Ubxn2a
PRUNE2,Prune2
UTP4,Utp4
KLHL8,Klhl8
NUP210,Nup210
ALG2,Alg2
SMG9,Smg9
KRT81,Krt81
AMER3,Amer3
PGAM1,Pgam1
NUP214,Nup214
COMMD4,Commd4
KCNE4,Kcne4
RAB8A,Rab8a
MPPED2,Mpped2
PSMA1,Psma1
CD209,Cd209e
COASY,Coasy
MN1,Mn1
KIF20B,Kif20b
TMEM165,Tmem165
GPR101,Gpr101
LMLN,Lmln
TRIM10,Trim10
TRAF7,Traf7
OR11A1,Olfr96
SYNJ2BP,Synj2bp
IL18RAP,Il18rap
FAM163B,Fam163b
QRFP,Qrfp
GLIPR2,Glipr2
KANSL3,Kansl3
SNAPC2,Snapc2
CENPL,Cenpl
RPS20,Rps20
TSPAN6,Tspan6
BRD2,Brd2
CEBPE,Cebpe
SRR,Srr
LSM2,Lsm2
KRTAP10-5,
TMCO1,Tmco1
CNTNAP2,Cntnap2
NMRK2,Nmrk2
SLCO1C1,Slco1c1
FBXW11,Fbxw11
CRTAC1,Crtac1
HINT1,Hint1
GAS2,Gas2
NEUROD2,Neurod2
HM13,H13
ARHGEF19,Arhgef19
S100P,
NUDT7,Nudt7
PDE6A,Pde6a
ART3,Art3
C3H6ORF203,1700021F05Rik
TCEA1,Tcea1
DCUN1D2,Dcun1d2
HNRNPAB,Hnrnpab
AUP1,Aup1
IMPDH2,Impdh2-ps
BTG2,Btg2
RNF121,Rnf121
TBKBP1,Tbkbp1
TMEM2,Tmem2
PCF11,Pcf11
MROH8,Mroh8
CCDC65,Ccdc65
CTNNB1,Ctnnb1
TNS2,Tns2
GMPR2,Gmpr2
POC1A,Poc1a
PRC1,Prc1
SKP1,Skp1a
SUN2,Sun2
FUT9,Fut9
RPL7,Rpl7
SPACA7,Spaca7
ANKRD42,Ankrd42
STEAP1,Steap1
USP16,Usp16
TP73,Trp73
COL3A1,Col3a1
UNCX,Uncx
OR51B2,Olfr64
DYNC2LI1,Dync2li1
PRDM16,Prdm16
FOXJ2,Foxj2
DCBLD1,Dcbld1
ADH5,Adh5
KRTAP15-1,Krtap15
OR4D2,Olfr463
PCDHA5,Pcdha5
ORMDL1,Ormdl1
C5H12orf56,D930020B18Rik
DLC1,Dlc1
NABP1,Nabp1
ZDHHC12,Zdhhc12
WDR45,Wdr45
C28H10orf128,1810011H11Rik
CEP55,Cep55
THEMIS2,Themis2
FOSL1,Fosl1
G2E3,G2e3
SNX32,Snx32
LOC100287036,
PHLDB1,Phldb1
ZDHHC21,Zdhhc21
CCR4,Ccr4
RPS6KL1,Rps6kl1
DUSP9,Dusp9
FAM171A2,Fam171a2
OR2AK2,Olfr320
MAGEB6,
CLIC5,Clic5
TTC12,Ttc12
PDHA2,
DNAJC1,Dnajc1
UBE2L3,Ube2l3
USF2,Usf2
CARS,Cars
DUSP19,Dusp19
PLEKHS1,Plekhs1
LEP,Lep
TBC1D7,Tbc1d7
TMEM31,
ADPRH,Adprh
PXMP4,Pxmp4
TMPPE,Tmppe
FFAR4,Ffar4
NLRP8,
H1F0,H1f0
HGS,Hgs
EFHC2,Efhc2
OR2S2,Olfr155
GABBR2,Gabbr2
AQP1,Aqp1
PLEKHB1,Plekhb1
LRRC10B,Lrrc10b
C26H10orf62,4933411K16Rik
SNRNP70,Snrnp70
AASDHPPT,Aasdhppt
CORO1B,Coro1b
OPTN,Optn
PPM1A,Ppm1a
KCNK7,Kcnk7
KIF23,Kif23
HIST1H2BL,Hist1h2bj
NAA11,Naa11
PRDM7,
RP1L1,Rp1l1
PAM16,Pam16
RAD51C,Rad51c
CLYBL,Clybl
CHRM2,Chrm2
LAMP3,Lamp3
NAT1,Nat2
DEFB136,
CEACAM7,
CTNNBL1,Ctnnbl1
GPR135,Gpr135
SNX3,Snx3
TYR,Tyr
LILRA2,
PTPRN,Ptprn
MNS1,Mns1
MAP3K6,Map3k6
ADAM2,Adam2
NOX5,
FAM151A,Fam151a
ZNF888,
TFCP2,Tfcp2
CCDC47,Ccdc47
RHOG,Rhog
GC,Gc
XG,
NDUFS1,Ndufs1
TDRD12,
URM1,Urm1
PTPRD,
PDLIM5,Pdlim5
OR8D2,Olfr926
CHM,Chm
TNIP2,Tnip2
THBD,Thbd
PDE9A,Pde9a
VGLL2,Vgll2
GLIS2,Glis2
FRMD1,
ST6GAL1,St6gal1
MEIOB,Meiob
EPHB2,Ephb2
ZNF416,Zfp418
ISG20,Isg20
AHCYL2,Ahcyl2
SHC2,Shc2
SPINK14,Spink14
DCAF8L1,
NEK2,Nek2
PKD1L1,Pkd1l1
PCDHA4,Pcdha4
KIF11,Kif11
SEC14L2,Sec14l2
CRHR2,Crhr2
ALPK3,Alpk3
SCP2,Scp2
SENP3,Senp3
HES3,Hes3
CFHR5,
MVP,Mvp
NHLRC2,Nhlrc2
SLAMF6,Slamf6
HSF2,Hsf2
FTL,Ftl1-ps2
GTF3C2,Gtf3c2
STOX2,Stox2
NPR1,Npr1
ASCC3,Ascc3
CYB5D2,Cyb5d2
CNGA3,Cnga3
CT83,
AOX1,Aox1
SESN1,Sesn1
C5H12orf40,
NXF1,Nxf1
TNRC6C,Tnrc6c
HTR6,Htr6
G6PC3,G6pc3
DPPA3,
ADPRHL2,Adprhl2
CLDN34,Cldn34-ps
ARFGAP3,Arfgap3
STEAP2,Steap2
SFRP2,Sfrp2
METTL16,Mettl16
ZNF208,Zfp619
FDCSP,
MAGEA10,Magea10
KIAA1614,BC034090
GSTO2,Gsto2
MUC19,
NKX2-8,Nkx2-9
C24H18orf32,BC031181
CFAP206,Cfap206
PPP1R1C,Ppp1r1c
ZMYM2,Zmym2
DEFB107B,
CKS1B,Cks1b
INTS10,Ints10
C16H1orf115,C130074G19Rik
RRAGB,Rragb
PAXIP1,
C11H9orf16,1110008P14Rik
TMEM59L,Tmem59l
SHARPIN,Sharpin
FUT6,
ECM2,Ecm2
APOBR,Apobr
FAM13A,
CAMKMT,Camkmt
AMZ1,Amz1
APOOL,Apool
MCTP2,Mctp2
BOD1,Bod1
ZMAT1,Zmat1
ZRANB3,Zranb3
PPP1R10,Ppp1r10
MYO19,Myo19
NAXD,Naxd
LHX8,Lhx8
PLA2R1,Pla2r1
RNF207,Rnf207
FAM83A,Fam83a
LOC728026,
TMEM132B,Tmem132b
PNO1,Pno1
IFNA16,
IK,Ik
MYD88,Myd88
ZNF749,
ATP6V1B2,Atp6v1b2
KIAA1107,A830010M20Rik
EIF4G3,Eif4g3
SNX19,Snx19
RPS4Y2,
RANBP9,Ranbp9
REEP5,Reep5
CCL2,Ccl12
SYNCRIP,Syncrip
VTI1B,Vti1b
ZNF574,Zfp574
POLR2B,Polr2b
CDC42EP4,Cdc42ep4
SLC28A1,Slc28a1
ELP5,Elp5
CETP,
ZNF468,
C17H22orf15,Gm867
HECA,Heca
WNT2,Wnt2
POLE,Pole
NCF1,Ncf1
PLIN3,Plin3
LMAN1L,Lman1l
DOCK1,Dock1
GPHA2,Gpha2
TNFRSF10D,
RILPL1,Rilpl1
EDRF1,Edrf1
MAGEE1,Magee1
TEKT2,Tekt2
ERG,Erg
SDHB,Sdhb
IPO9,Ipo9
ATP11AUN,
PIGO,Pigo
APOC4,Apoc4
IQGAP3,Iqgap3
PVR,
PARD3B,Pard3b
FAM122B,Fam122b
CHEK1,Chek1
TRIM63,Trim63
NPVF,Npvf
EAF1,Eaf1
ADH6,
RPL15,Rpl15
CYP27A1,Cyp27a1
FAM118B,Fam118b
NAPSA,Napsa
PRCP,Prcp
CPTP,Cptp
FIBP,Fibp
UNK,Unk
RSL24D1,Rsl24d1
KIAA0232,D5Ertd579e
UGT2A3,Ugt2a3
ZNF497,
VPS35,Vps35
PRKAG3,Prkag3
PRDM1,Prdm1
ZNF682,
PEX26,Pex26
GRIN3A,Grin3a
OSGEPL1,Osgepl1
WDR49,Wdr49
CRYZ,Cryz
ZNF180,Zfp180
CPAMD8,
NDUFB4,Ndufb4
BTBD19,
SLC24A1,Slc24a1
TSPYL1,Tspyl1
TRIM64C,
EWSR1,
FAM171B,Fam171b
CAPRIN1,Caprin1
SMG7,Smg7
ZAP70,Zap70
TTBK2,Ttbk2
PACS1,Pacs1
CRMP1,Crmp1
IL12A,Il12a
HRH4,Hrh4
PCP4L1,
KRT75,Krt75
SLC6A14,Slc6a14
ZSCAN10,Zscan10
PCGF5,Pcgf5
SDC2,Sdc2
BCO2,Bco2
LOC101060181,
PDE4DIP,Pde4dip
C14H8orf82,C030006K11Rik
SERPINA9,Serpina9
FBXO3,Fbxo3
JTB,Jtb
DTX3,Dtx3
THEGL,Thegl
PNPLA6,Pnpla6
C1H12ORF73,1190007I07Rik
MTNR1A,Mtnr1a
TANC2,Tanc2
MLLT1,Mllt1
OR5T2,Olfr1086
HS3ST3B1,Hs3st3b1
SLC23A1,Slc23a1
AURKB,Aurkb
AIFM2,Aifm2
C2CD4D,C2cd4d
PPFIBP1,Ppfibp1
RCOR2,Rcor2
INHBA,Inhba
FAAP24,Faap24
SV2A,Sv2a
TLX1,Tlx1
PRPSAP2,Prpsap2
GJD3,Gjd3
ZNF706,Zfp706
CES3,Ces3b
ARL5A,Arl5a
RBP4,Rbp4
SYNRG,Synrg
LIPJ,
STX18,Stx18
SLC45A1,Slc45a1
MKRN1,Mkrn1
GSR,Gsr
BLVRA,Blvra
LAMTOR5,Lamtor5
LYRM7,Lyrm7
NCK2,Nck2
HSD17B6,Hsd17b6
ADGRF3,Adgrf3
B3GAT1,B3gat1
ZSWIM2,Zswim2
LOC101060581,
COX19,Cox19
TM9SF1,Tm9sf1
CDC40,Cdc40
CTTNBP2,Cttnbp2
PSTK,Pstk
PHAX,Phax
EXTL1,Extl1
POLA2,Pola2
FBXO2,Fbxo2
TMEM222,Tmem222
NR2E3,Nr2e3
YWHAH,Ywhah
PCDHGB7,Pcdhgb7
GTF2F1,Gtf2f1
SPP1,Spp1
PLIN5,Plin5
JRK,Jrk
PC,Pcx
LNP1,Lnp1
GCNT3,Gcnt3
GLB1L2,Glb1l2
N4BP1,N4bp1
C15H15orf32,
NAALAD2,Naalad2
LOC389895,Gm715
NMUR1,Nmur1
ZFP91,Zfp91
NPY5R,Npy5r
PPP5C,Ppp5c
SHANK2,Shank2
MTCH2,Mtch2
HSPA9,Hspa9
OR5M9,Olfr1034
ARV1,Arv1
HORMAD2,Hormad2
GFPT2,Gfpt2
MTF1,Mtf1
OR10G9,Olfr979
TOX3,Tox3
ASB9,Asb9
TMEM247,Tmem247
HYLS1,Hyls1
SLMAP,Slmap
RARRES2,Rarres2
ZNF76,Zfp523
ATP5H,Atp5h
ARHGAP1,Arhgap1
ONECUT3,
